claim_id,sale_id,component_code,component_name,component_family,supplier_code,sale_date,claim_date,days_since_sale,market_region,use_case,failure_mode,claim_cost_gbp,repeat_claim
CLM-00001,SALE-08114,37Q-9AH8,Starter Motor,Electrical,GFYG-WWQC,2025-03-17,2026-03-04,352,MENA,Leisure,Leak,164.02,False
CLM-00002,SALE-05843,XOI-65FD,Tailgate,Body,YR3X-KXWN,2025-05-16,2025-12-14,212,Americas,Commuting,Corrosion,190.7,False
CLM-00003,SALE-02736,3YR-9OUD,Steering Knuckle,Chassis,MECO-SFOG,2025-05-10,2025-11-11,185,EU,Commuting,Noise,544.77,False
CLM-00004,SALE-04753,71N-8MTZ,Alternator,Electrical,GFYG-WWQC,2024-10-29,2025-04-18,171,Americas,Off-roading,Noise,405.06,False
CLM-00005,SALE-12880,AU5-BHXT,Suspension Control Arm,Chassis,MECO-SFOG,2024-10-27,2025-06-16,232,MENA,Off-roading,Corrosion,1170.63,False
CLM-00006,SALE-08320,AQ6-L6GT,Brake Caliper,Chassis,AK1V-RJNV,2024-10-18,2024-12-31,74,MENA,Commercial,Corrosion,849.59,False
CLM-00007,SALE-10850,XOI-65FD,Tailgate,Body,YR3X-KXWN,2025-05-02,2026-01-10,253,EU,Leisure,Corrosion,70.36,False
CLM-00008,SALE-01512,3YR-9OUD,Steering Knuckle,Chassis,MECO-SFOG,2025-06-10,2026-04-04,298,EU,Leisure,Noise,359.06,False
CLM-00009,SALE-12589,37Q-9AH8,Starter Motor,Electrical,GFYG-WWQC,2024-11-28,2025-02-10,74,EU,Commercial,Corrosion,585.47,False
CLM-00010,SALE-04352,UN5-Z3JQ,Front Bumper,Body,38HY-F9SX,2025-01-20,2026-03-30,434,UK,Leisure,Noise,442.38,False
CLM-00011,SALE-06522,X27-2HPO,Tie Rod,Chassis,MECO-SFOG,2024-10-18,2025-05-05,199,UK,Commercial,Leak,531.04,False
CLM-00012,SALE-03759,RVH-S1K3,Turbocharger,Powertrain,38HY-F9SX,2025-04-21,2025-07-14,84,Americas,Commuting,Non-start,3041.03,False
CLM-00013,SALE-11176,37Q-9AH8,Starter Motor,Electrical,GFYG-WWQC,2025-03-24,2025-10-27,217,EU,Leisure,Non-start,853.61,False
CLM-00014,SALE-02087,PDP-FF5E,Steering Column,Chassis,MECO-SFOG,2025-03-25,2026-06-29,461,MENA,Leisure,Noise,783.19,False
CLM-00015,SALE-01356,RVH-S1K3,Turbocharger,Powertrain,AK1V-RJNV,2024-11-26,2025-07-21,237,UK,Commuting,Corrosion,2099.65,False
CLM-00016,SALE-00337,RVH-S1K3,Turbocharger,Powertrain,AK1V-RJNV,2024-12-28,2026-04-03,461,Americas,Leisure,Intermittent,2702.58,False
CLM-00017,SALE-00462,3YR-9OUD,Steering Knuckle,Chassis,MECO-SFOG,2025-06-23,2026-11-16,511,UK,Off-roading,Corrosion,964.61,False
CLM-00018,SALE-06319,XOI-65FD,Tailgate,Body,YR3X-KXWN,2025-02-02,2025-10-18,258,EU,Leisure,Corrosion,168.49,False
CLM-00019,SALE-12720,HJK-1EYY,Drive Shaft,Powertrain,AK1V-RJNV,2025-05-10,2025-12-25,229,EU,Off-roading,Leak,1847.42,False
CLM-00020,SALE-03325,PDP-FF5E,Steering Column,Chassis,MECO-SFOG,2024-12-17,2025-10-11,298,Americas,Off-roading,Corrosion,603.23,False
CLM-00021,SALE-04337,OCU-ZREN,Door Panel,Body,YR3X-KXWN,2025-01-21,2026-06-10,505,MENA,Commuting,Intermittent,567.81,False
CLM-00022,SALE-00252,71N-8MTZ,Alternator,Electrical,GFYG-WWQC,2025-02-19,2026-05-05,440,MENA,Commuting,Non-start,171.65,False
CLM-00023,SALE-03500,IP9-8Q1Z,Transmission Assembly,Powertrain,AK1V-RJNV,2025-01-20,2025-07-12,173,UK,Commuting,Non-start,3319.11,False
CLM-00024,SALE-06516,71N-8MTZ,Alternator,Electrical,HBRP-OIG8,2025-04-16,2025-09-25,162,MENA,Commuting,Non-start,549.53,False
CLM-00025,SALE-01362,6MJ-XK87,Compressor,HVAC,GFYG-WWQC,2025-03-28,2026-06-24,453,UK,Off-roading,Intermittent,394.85,False
CLM-00026,SALE-04971,AQ6-L6GT,Brake Caliper,Chassis,HBRP-OIG8,2025-04-22,2025-05-12,20,MENA,Leisure,Leak,1058.89,False
CLM-00027,SALE-13384,HJK-1EYY,Drive Shaft,Powertrain,AK1V-RJNV,2025-02-15,2025-04-28,72,UK,Commercial,Intermittent,461.36,False
CLM-00028,SALE-04144,6MJ-XK87,Compressor,HVAC,GFYG-WWQC,2025-02-28,2026-04-06,402,MENA,Commuting,Corrosion,421.1,False
CLM-00029,SALE-06131,3YR-9OUD,Steering Knuckle,Chassis,MECO-SFOG,2024-12-02,2026-02-19,444,MENA,Leisure,Corrosion,932.74,False
CLM-00030,SALE-07261,8II-49KQ,Blower Motor,HVAC,GFYG-WWQC,2025-05-28,2026-06-05,373,UK,Leisure,Intermittent,853.54,False
CLM-00031,SALE-10644,IP9-8Q1Z,Transmission Assembly,Powertrain,AK1V-RJNV,2025-04-27,2026-03-01,308,MENA,Off-roading,Corrosion,835.99,False
CLM-00032,SALE-11276,UN5-Z3JQ,Front Bumper,Body,YR3X-KXWN,2025-03-10,2026-08-29,537,Americas,Off-roading,Corrosion,567.97,False
CLM-00033,SALE-10988,6MJ-XK87,Compressor,HVAC,GFYG-WWQC,2025-03-12,2025-12-21,284,Americas,Off-roading,Noise,195.66,False
CLM-00034,SALE-07138,XOI-65FD,Tailgate,Body,YR3X-KXWN,2024-12-30,2026-05-04,490,UK,Commuting,Noise,288.46,False
CLM-00035,SALE-05259,6MJ-XK87,Compressor,HVAC,GFYG-WWQC,2024-12-24,2025-12-04,345,UK,Off-roading,Leak,232.83,False
CLM-00036,SALE-04986,OCU-ZREN,Door Panel,Body,YR3X-KXWN,2025-05-10,2026-02-10,276,Americas,Commercial,Non-start,103.73,False
CLM-00037,SALE-06938,HJK-1EYY,Drive Shaft,Powertrain,AK1V-RJNV,2025-04-18,2026-03-10,326,Americas,Off-roading,Leak,3224.48,False
CLM-00038,SALE-11850,RVH-S1K3,Turbocharger,Powertrain,AK1V-RJNV,2025-05-06,2025-05-22,16,Americas,Off-roading,Non-start,3192.69,False
CLM-00039,SALE-09151,3YR-9OUD,Steering Knuckle,Chassis,MECO-SFOG,2024-11-09,2025-05-11,183,EU,Off-roading,Corrosion,784.48,False
CLM-00040,SALE-08366,37Q-9AH8,Starter Motor,Electrical,GFYG-WWQC,2025-02-13,2025-08-25,193,Americas,Commuting,Non-start,872.36,False
CLM-00041,SALE-08896,X27-2HPO,Tie Rod,Chassis,MECO-SFOG,2025-04-20,2025-05-04,14,Americas,Commuting,Corrosion,650.34,False
CLM-00042,SALE-06247,OCU-ZREN,Door Panel,Body,YR3X-KXWN,2025-03-01,2025-03-25,24,EU,Off-roading,Noise,480.57,False
CLM-00043,SALE-04700,XOI-65FD,Tailgate,Body,YR3X-KXWN,2025-04-02,2025-11-24,236,UK,Commercial,Corrosion,103.5,False
CLM-00044,SALE-04746,71N-8MTZ,Alternator,Electrical,GFYG-WWQC,2024-10-25,2026-03-12,503,UK,Leisure,Intermittent,404.41,False
CLM-00045,SALE-07454,AU5-BHXT,Suspension Control Arm,Chassis,F1CB-FNO6,2025-06-01,2026-02-11,255,EU,Leisure,Intermittent,676.3,False
CLM-00046,SALE-09598,X27-2HPO,Tie Rod,Chassis,MECO-SFOG,2024-11-02,2025-11-14,377,UK,Leisure,Non-start,960.4,False
CLM-00047,SALE-00194,8II-49KQ,Blower Motor,HVAC,GFYG-WWQC,2025-05-04,2026-03-15,315,MENA,Commercial,Non-start,434.31,False
CLM-00048,SALE-13481,6MJ-XK87,Compressor,HVAC,GFYG-WWQC,2025-04-18,2026-02-19,307,EU,Commercial,Intermittent,983.29,False
CLM-00049,SALE-09731,HJK-1EYY,Drive Shaft,Powertrain,F1CB-FNO6,2024-10-05,2025-01-22,109,EU,Off-roading,Leak,2651.46,False
CLM-00050,SALE-06828,AQ6-L6GT,Brake Caliper,Chassis,AK1V-RJNV,2025-03-21,2025-12-21,275,EU,Commuting,Non-start,695.61,False
CLM-00051,SALE-02872,OCU-ZREN,Door Panel,Body,YR3X-KXWN,2025-03-10,2026-01-22,318,EU,Commercial,Noise,231.92,False
CLM-00052,SALE-02201,PDP-FF5E,Steering Column,Chassis,MECO-SFOG,2025-02-26,2025-10-29,245,MENA,Commuting,Noise,813.41,False
CLM-00053,SALE-11090,PDP-FF5E,Steering Column,Chassis,MECO-SFOG,2024-12-06,2026-02-01,422,EU,Off-roading,Corrosion,846.91,False
