sale_id,component_code,supplier_code,sale_date,market_region,use_case
SALE-00003,AU5-BHXT,MECO-SFOG,2024-10-23,EU,Commuting
SALE-00004,AU5-BHXT,F1CB-FNO6,2025-01-17,Americas,Off-roading
SALE-00006,UN5-Z3JQ,YR3X-KXWN,2024-10-06,MENA,Leisure
SALE-00007,UN5-Z3JQ,B9M8-0O2R,2025-04-21,EU,Leisure
SALE-00009,UN5-Z3JQ,YR3X-KXWN,2025-06-01,Americas,Commuting
SALE-00011,AU5-BHXT,B9M8-0O2R,2024-11-16,UK,Commuting
SALE-00012,8II-49KQ,B9M8-0O2R,2024-10-13,UK,Commercial
SALE-00016,71N-8MTZ,GFYG-WWQC,2025-05-09,UK,Leisure
SALE-00017,IP9-8Q1Z,AK1V-RJNV,2024-12-12,UK,Commercial
SALE-00018,8II-49KQ,GFYG-WWQC,2024-11-15,UK,Off-roading
SALE-00020,3YR-9OUD,MECO-SFOG,2025-07-01,EU,Commercial
SALE-00021,8II-49KQ,GFYG-WWQC,2025-04-26,UK,Off-roading
SALE-00022,AQ6-L6GT,HBRP-OIG8,2025-02-01,MENA,Commercial
SALE-00023,HJK-1EYY,HBRP-OIG8,2024-10-10,Americas,Commercial
SALE-00025,AU5-BHXT,MECO-SFOG,2025-04-05,EU,Commuting
SALE-00027,AQ6-L6GT,AK1V-RJNV,2024-11-29,EU,Leisure
SALE-00029,3YR-9OUD,MECO-SFOG,2025-05-05,UK,Leisure
SALE-00030,X27-2HPO,MECO-SFOG,2024-10-02,EU,Commercial
SALE-00033,HJK-1EYY,AK1V-RJNV,2025-03-14,Americas,Leisure
SALE-00034,AU5-BHXT,F1CB-FNO6,2024-12-30,MENA,Commuting
SALE-00035,XOI-65FD,YR3X-KXWN,2025-03-16,MENA,Commercial
SALE-00036,AU5-BHXT,MECO-SFOG,2025-04-25,Americas,Leisure
SALE-00038,AU5-BHXT,MECO-SFOG,2024-12-04,EU,Off-roading
SALE-00040,6MJ-XK87,GFYG-WWQC,2025-03-06,Americas,Commuting
SALE-00043,UN5-Z3JQ,F1CB-FNO6,2024-12-13,Americas,Commercial
SALE-00044,RVH-S1K3,AK1V-RJNV,2025-04-05,EU,Leisure
SALE-00046,AQ6-L6GT,AK1V-RJNV,2025-05-28,UK,Commercial
SALE-00048,HJK-1EYY,AK1V-RJNV,2025-02-18,EU,Leisure
SALE-00049,AQ6-L6GT,AK1V-RJNV,2025-06-22,UK,Commuting
SALE-00050,UN5-Z3JQ,F1CB-FNO6,2025-02-16,Americas,Off-roading
SALE-00052,37Q-9AH8,B9M8-0O2R,2024-12-09,MENA,Commuting
SALE-00054,HJK-1EYY,AK1V-RJNV,2025-04-16,EU,Off-roading
SALE-00055,37Q-9AH8,GFYG-WWQC,2025-04-23,UK,Leisure
SALE-00060,AU5-BHXT,MECO-SFOG,2025-05-14,MENA,Leisure
SALE-00061,AQ6-L6GT,AK1V-RJNV,2024-12-03,MENA,Commuting
SALE-00063,UN5-Z3JQ,YR3X-KXWN,2024-11-29,MENA,Commuting
SALE-00065,UN5-Z3JQ,YR3X-KXWN,2025-06-14,UK,Commercial
SALE-00066,XOI-65FD,YR3X-KXWN,2025-05-27,MENA,Commercial
SALE-00067,XOI-65FD,YR3X-KXWN,2024-11-07,UK,Commuting
SALE-00068,6MJ-XK87,GFYG-WWQC,2024-10-25,UK,Commercial
SALE-00074,6MJ-XK87,GFYG-WWQC,2025-03-07,EU,Off-roading
SALE-00076,OCU-ZREN,YR3X-KXWN,2024-11-17,UK,Off-roading
SALE-00080,6MJ-XK87,GFYG-WWQC,2024-11-25,UK,Leisure
